20,"Paper 12 : Company Accounts & Audit",180,3000,"This package includes Five Probable Question Papers for COMPANY ACCOUNTS & AUDIT along with the important study material.<BR /><BR />    Probable Paper Test Series<BR />        Probable Question - Solution Set 1<BR />        Probable Question - Solution Set 2<BR />        Probable Question - Solution Set 3<BR />        Probable Question - Solution Set 4<BR />        Probable Question - Solution Set 5<BR /><BR />    Theory Notes<BR />        PPT Notes<BR />        RTP Notes<BR /><BR />    Suggested Answer to Previous Attempts<BR />        Dec 2015<BR />        Dec 2015_2<BR />        Jun 2015<BR />        Dec 2014<BR />        Jun 2014<BR />        Dec 2013<BR /><BR />You do not need to waste time in searching for various material.<BR />May it be the previous papers or the useful PPTs,RTPs etc.  ","null","403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424",0,"CMA","Inter","Group 2","COMPANY ACCOUNTS & AUDIT",14/11/16 00:18,14/11/16 00:18
21,"Final Combo",180,18000,"This package includes Five Probable Question Papers for all the subjects in Final Exam<BR />   P13 Corporate Laws & Compliance<BR />P14 Advanced Financial Management<BR />P15 Business Strategy & Strategic Cost Management<BR /> P16 Tax Management & Pratice<BR />P17 Strategic Peformance Management<BR />P18 Corporate Financial Reporting<BR />P19 Cost & Management Audit<BR />P20 Financial Analysis & Business Valuation<BR /><BR />... along with the important study material.","null","79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267",0,"CMA","Final","Group 3 & 4","All (P13 to P20)",14/11/16 00:25,14/11/16 00:25
22,"Group Three Combo",180,10000,"This package includes Five Probable Question Papers for all the subjects in Group Three(Final)<BR />P13 Corporate Laws & Compliance<BR />P14 Advanced Financial Management<BR />P15 Business Strategy & Strategic Cost Management<BR /> P16 Tax Management & Pratice<BR /><BR />... along with the important study material.","null","104,105,106,107,108,119,123,124,125,126,127,128,129,130,131,132,133,94,95,96,97,98,134,135,136,140,141,142,143,149,150,151,152,109,110,111,112,113,156,157,158,159,160,161,162,163,164,165,166,167,114,115,116,117,118,168,169,170,171,172,173,174,175,176,177,178,179,183,184,185,186",0,"CMA","Final","Group 3","All (P13, P14, P15, P16)",14/11/16 00:26,14/11/16 00:26
23,"Group Four Combo",180,10000,"This package includes Five Probable Question Papers for all the subjects in Group Four(Final)<BR />P17 Strategic Peformance Management<BR />P18 Corporate Financial Reporting<BR />P19 Cost & Management Audit<BR />P20 Financial Analysis & Business Valuation<BR /><BR />... along with the important study material.","null","79,80,81,82,83,187,188,189,190,191,197,198,199,200,201,202,203,204,205,206,207,208,84,85,86,87,88,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,89,90,91,92,93,228,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,99,100,101,102,103,248,249,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267",0,"CMA","Final","Group 4","All (P17, P18, P19, P20)",14/11/16 00:26,14/11/16 00:26
24,"Paper 13 : Corporate Laws & Compliance",180,3000,"This package includes Five Probable Question Papers for CORPORATE LAWS AND COMPLIANCE along with the important study material.<BR /><BR />    Probable Paper Test Series<BR />        Probable Question - Solution Set 1<BR />        Probable Question - Solution Set 2<BR />        Probable Question - Solution Set 3<BR />        Probable Question - Solution Set 4<BR />        Probable Question - Solution Set 5<BR /><BR />    Theory Notes<BR />        PPT Notes<BR />        RTP Notes<BR /><BR />    Suggested Answer to Previous Attempts<BR />        Dec 2015<BR />        Dec 2015_2<BR />        Jun 2015<BR />        Dec 2014<BR />        Jun 2014<BR />        Dec 2013<BR /><BR />You do not need to waste time in searching for various material.<BR />May it be the previous papers or the useful PPTs,RTPs etc.","null","104,105,106,107,108,119,123,124,125,126,127,128,129,130,131,132,133",0,"CMA","Final","Group 3","CORPORATE LAWS & COMPLIANCE",14/11/16 00:28,14/11/16 00:28
25,"Paper 14 : Advanced Financial Management",180,3000,"This package includes Five Probable Question Papers for ADVANCED FINANCIAL MANAGEMENT along with the important study material.<BR /><BR />    Probable Paper Test Series<BR />        Probable Question - Solution Set 1<BR />        Probable Question - Solution Set 2<BR />        Probable Question - Solution Set 3<BR />        Probable Question - Solution Set 4<BR />        Probable Question - Solution Set 5<BR /><BR />    Theory Notes<BR />        PPT Notes<BR />        RTP Notes<BR /><BR />    Suggested Answer to Previous Attempts<BR />        Dec 2015<BR />        Dec 2015_2<BR />        Jun 2015<BR />        Dec 2014<BR />        Jun 2014<BR />        Dec 2013<BR /><BR />You do not need to waste time in searching for various material.<BR />May it be the previous papers or the useful PPTs,RTPs etc.","null","94,95,96,97,98,134,135,136,140,141,142,143,149,150,151,152",0,"CMA","Final","Group 3","ADVANCED FINANCIAL MANAGEMENT",14/11/16 00:29,14/11/16 00:29
26,"Paper 15 : Business Strategy & Strategic Cost Management",180,3000,"This package includes Five Probable Question Papers for BUSINESS STRATEGY along with the important study material.<BR /><BR />    Probable Paper Test Series<BR />        Probable Question - Solution Set 1<BR />        Probable Question - Solution Set 2<BR />        Probable Question - Solution Set 3<BR />        Probable Question - Solution Set 4<BR />        Probable Question - Solution Set 5<BR /><BR />    Theory Notes<BR />        PPT Notes<BR />        RTP Notes<BR /><BR />    Suggested Answer to Previous Attempts<BR />        Dec 2015<BR />        Dec 2015_2<BR />        Jun 2015<BR />        Dec 2014<BR />        Jun 2014<BR />        Dec 2013<BR /><BR />You do not need to waste time in searching for various material.<BR />May it be the previous papers or the useful PPTs,RTPs etc.","null","109,110,111,112,113,156,157,158,159,160,161,162,163,164,165,166,167",0,"CMA","Final","Group 3","BUSINESS STRATEGY & STRATEGIC COST MANAGEMENT",14/11/16 00:29,14/11/16 00:29
27,"Paper 16 : Tax Management & Practice",180,3000,"This package includes Five Probable Question Papers for TAX MANAGEMENT AND PRACTICE along with the important study material.<BR /><BR />    Probable Paper Test Series<BR />        Probable Question - Solution Set 1<BR />        Probable Question - Solution Set 2<BR />        Probable Question - Solution Set 3<BR />        Probable Question - Solution Set 4<BR />        Probable Question - Solution Set 5<BR /><BR />    Theory Notes<BR />        PPT Notes<BR />        RTP Notes<BR /><BR />    Suggested Answer to Previous Attempts<BR />        Dec 2015<BR />        Dec 2015_2<BR />        Jun 2015<BR />        Dec 2014<BR />        Jun 2014<BR />        Dec 2013<BR /><BR />You do not need to waste time in searching for various material.<BR />May it be the previous papers or the useful PPTs,RTPs etc.","null","114,115,116,117,118,168,169,170,171,172,173,174,175,176,177,178,179,183,184,185,186",0,"CMA","Final","Group 3","TAX MANAGEMENT & PRATICE",14/11/16 00:30,14/11/16 00:30
28,"Paper 17 : Strategic Peformance Management",180,3000,"This package includes Five Probable Question Papers for STRATEGIC PERFORMANCE MANAGEMENT along with the important study material.<BR /><BR />    Probable Paper Test Series<BR />        Probable Question - Solution Set 1<BR />        Probable Question - Solution Set 2<BR />        Probable Question - Solution Set 3<BR />        Probable Question - Solution Set 4<BR />        Probable Question - Solution Set 5<BR /><BR />    Theory Notes<BR />        PPT Notes<BR />        RTP Notes<BR /><BR />    Suggested Answer to Previous Attempts<BR />        Dec 2015<BR />        Dec 2015_2<BR />        Jun 2015<BR />        Dec 2014<BR />        Jun 2014<BR />        Dec 2013<BR /><BR />You do not need to waste time in searching for various material.<BR />May it be the previous papers or the useful PPTs,RTPs etc.","null","79,80,81,82,83,187,188,189,190,191,197,198,199,200,201,202,203,204,205,206,207,208",0,"CMA","Final","Group 4","STRATEGIC PERFORMANCE MANAGEMENT ",14/11/16 00:31,14/11/16 00:31
29,"Paper 18 : Corporate Financial Reporting",180,3000,"This package includes Five Probable Question Papers for CORPORATE FINANCIAL REPORTING along with the important study material.<BR /><BR />    Probable Paper Test Series<BR />        Probable Question - Solution Set 1<BR />        Probable Question - Solution Set 2<BR />        Probable Question - Solution Set 3<BR />        Probable Question - Solution Set 4<BR />        Probable Question - Solution Set 5<BR /><BR />    Theory Notes<BR />        PPT Notes<BR />        RTP Notes<BR /><BR />    Suggested Answer to Previous Attempts<BR />        Dec 2015<BR />        Dec 2015_2<BR />        Jun 2015<BR />        Dec 2014<BR />        Jun 2014<BR />        Dec 2013<BR /><BR />You do not need to waste time in searching for various material.<BR />May it be the previous papers or the useful PPTs,RTPs etc.","null","84,85,86,87,88,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227",0,"CMA","Final","Group 4","CORPORATE FINANCIAL REPORTING  ",14/11/16 00:32,14/11/16 00:32
30,"Paper 19 : Cost & Management Audit",180,3000,"This package includes Five Probable Question Papers for COST AND MANAGEMENT AUDIT along with the important study material.<BR /><BR />    Probable Paper Test Series<BR />        Probable Question - Solution Set 1<BR />        Probable Question - Solution Set 2<BR />        Probable Question - Solution Set 3<BR />        Probable Question - Solution Set 4<BR />        Probable Question - Solution Set 5<BR /><BR />    Theory Notes<BR />        PPT Notes<BR />        RTP Notes<BR /><BR />    Suggested Answer to Previous Attempts<BR />        Dec 2015<BR />        Dec 2015_2<BR />        Jun 2015<BR />        Dec 2014<BR />        Jun 2014<BR />        Dec 2013<BR /><BR />You do not need to waste time in searching for various material.<BR />May it be the previous papers or the useful PPTs,RTPs etc.","null","89,90,91,92,93,228,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247",0,"CMA","Final","Group 4","COST & MANAGEMENT AUDIT",14/11/16 00:32,14/11/16 00:32
31,"Paper 20 : Financial Analysis & Business Valuation",180,3000,"This package includes Five Probable Question Papers for FINANCIAL ANALYSIS AND BUSINESS VALUATION along with the important study material.<BR /><BR />    Probable Paper Test Series<BR />        Probable Question - Solution Set 1<BR />        Probable Question - Solution Set 2<BR />        Probable Question - Solution Set 3<BR />        Probable Question - Solution Set 4<BR />        Probable Question - Solution Set 5<BR /><BR />    Theory Notes<BR />        PPT Notes<BR />        RTP Notes<BR /><BR />    Suggested Answer to Previous Attempts<BR />        Dec 2015<BR />        Dec 2015_2<BR />        Jun 2015<BR />        Dec 2014<BR />        Jun 2014<BR />        Dec 2013<BR /><BR />You do not need to waste time in searching for various material.<BR />May it be the previous papers or the useful PPTs,RTPs etc.","null","99,100,101,102,103,248,249,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267",0,"CMA","Final","Group 4","FINANCIAL ANALYSIS & BUSINESS VALUATION ",14/11/16 00:33,14/11/16 00:33
